Date,Open,High,Low,Close,Adj Close,Volume
2016-07-27,6724.000000,6780.100098,6723.700195,6750.399902,6750.399902,762916700
2016-07-28,6750.399902,6762.700195,6718.899902,6721.100098,6721.100098,1204906600
2016-07-29,6721.100098,6740.500000,6691.100098,6724.399902,6724.399902,896711900
2016-08-01,6724.399902,6769.399902,6678.500000,6694.000000,6694.000000,705878400
2016-08-02,6694.000000,6694.100098,6630.799805,6645.399902,6645.399902,797367100
2016-08-03,6645.399902,6673.600098,6621.399902,6634.399902,6634.399902,773167000
2016-08-04,6634.399902,6749.700195,6615.799805,6740.200195,6740.200195,975076700
2016-08-05,6740.200195,6802.399902,6738.600098,6793.500000,6793.500000,854685300
2016-08-08,6793.500000,6829.500000,6781.500000,6809.100098,6809.100098,731849100
2016-08-09,6809.100098,6863.100098,6807.799805,6851.299805,6851.299805,843228100
2016-08-10,6851.299805,6866.399902,6820.000000,6866.399902,6866.399902,714543400
2016-08-11,6866.399902,6914.700195,6812.700195,6914.700195,6914.700195,735360000
2016-08-12,6914.700195,6931.000000,6896.000000,6916.000000,6916.000000,666188200
2016-08-15,6916.000000,6955.299805,6907.200195,6941.200195,6941.200195,534981000
2016-08-16,6941.200195,6941.200195,6893.899902,6893.899902,6893.899902,624313400
2016-08-17,6893.899902,6920.799805,6849.899902,6859.200195,6859.200195,694905300
2016-08-18,6859.200195,6893.399902,6850.600098,6869.000000,6869.000000,562282600
2016-08-19,6869.000000,6871.500000,6840.899902,6859.000000,6859.000000,682389000
2016-08-22,6859.000000,6884.600098,6812.100098,6828.500000,6828.500000,598174100
2016-08-23,6828.500000,6885.399902,6828.500000,6868.500000,6868.500000,714675900
2016-08-24,6868.500000,6868.500000,6825.200195,6835.799805,6835.799805,725713700
2016-08-25,6835.799805,6836.200195,6779.200195,6816.899902,6816.899902,637936600
2016-08-26,6816.899902,6857.299805,6798.799805,6838.100098,6838.100098,516535900
2016-08-30,6838.100098,6851.799805,6808.100098,6820.799805,6820.799805,721583800
2016-08-31,6820.799805,6832.899902,6779.500000,6781.500000,6781.500000,914533800
2016-09-01,6781.500000,6826.200195,6723.200195,6746.000000,6746.000000,962003800
2016-09-02,6746.000000,6928.299805,6746.000000,6894.600098,6894.600098,1148353400
2016-09-05,6894.600098,6910.700195,6867.100098,6879.399902,6879.399902,556659100
2016-09-06,6879.399902,6887.899902,6819.000000,6826.100098,6826.100098,666479900
2016-09-07,6826.100098,6856.100098,6814.899902,6846.600098,6846.600098,910691300
2016-09-08,6846.600098,6889.600098,6819.799805,6858.700195,6858.700195,784127900
2016-09-09,6858.700195,6862.399902,6762.299805,6777.000000,6777.000000,768674900
2016-09-12,6777.000000,6777.000000,6654.500000,6700.899902,6700.899902,861327100
2016-09-13,6700.899902,6724.700195,6665.600098,6665.600098,6665.600098,839927300
2016-09-14,6665.600098,6720.299805,6665.600098,6673.299805,6673.299805,676448700
2016-09-15,6673.299805,6736.799805,6654.799805,6730.299805,6730.299805,747305800
2016-09-16,6730.299805,6746.299805,6692.700195,6710.299805,6710.299805,1346126200
2016-09-19,6710.299805,6814.000000,6710.299805,6813.600098,6813.600098,685155700
2016-09-20,6813.600098,6869.100098,6798.000000,6830.799805,6830.799805,695070600
2016-09-21,6830.799805,6879.799805,6830.500000,6834.799805,6834.799805,700988900
2016-09-22,6834.799805,6937.299805,6834.799805,6911.399902,6911.399902,733328200
2016-09-23,6911.399902,6920.200195,6882.600098,6909.399902,6909.399902,738083700
2016-09-26,6909.399902,6909.600098,6806.500000,6818.000000,6818.000000,772058900
2016-09-27,6818.000000,6865.500000,6768.899902,6807.700195,6807.700195,822515600
2016-09-28,6807.700195,6878.200195,6807.700195,6849.399902,6849.399902,735753900
2016-09-29,6849.399902,6941.100098,6849.399902,6919.399902,6919.399902,833301000
2016-09-30,6919.399902,6919.399902,6809.500000,6899.299805,6899.299805,1148617200
2016-10-03,6899.299805,6996.399902,6898.100098,6983.500000,6983.500000,723046300
2016-10-04,6983.500000,7121.899902,6983.500000,7074.299805,7074.299805,1411305400
2016-10-05,7074.299805,7076.700195,7024.100098,7033.299805,7033.299805,941050600
2016-10-06,7033.299805,7049.299805,7000.000000,7000.000000,7000.000000,796980200
2016-10-07,7000.000000,7079.299805,7000.000000,7044.399902,7044.399902,1359993500
2016-10-10,7044.399902,7104.500000,7024.100098,7097.500000,7097.500000,848672800
2016-10-11,7097.500000,7129.799805,7061.399902,7070.899902,7070.899902,954215200
2016-10-12,7070.899902,7079.399902,7015.799805,7024.000000,7024.000000,910363500
2016-10-13,7024.000000,7024.000000,6930.000000,6977.700195,6977.700195,1010365100
2016-10-14,6977.700195,7055.200195,6977.700195,7013.600098,7013.600098,846003100
2016-10-17,7013.600098,7013.600098,6937.399902,6947.600098,6947.600098,705888600
2016-10-18,6947.600098,7033.000000,6946.399902,7000.100098,7000.100098,795838600
2016-10-19,7000.100098,7031.200195,6975.899902,7021.899902,7021.899902,798401200
2016-10-20,7021.899902,7047.600098,6998.799805,7026.899902,7026.899902,819201600
2016-10-21,7026.899902,7058.399902,7011.100098,7020.500000,7020.500000,735110600
2016-10-24,7020.500000,7067.299805,6983.399902,6986.399902,6986.399902,657275100
2016-10-25,6986.399902,7067.200195,6985.899902,7017.600098,7017.600098,836098700
2016-10-26,7017.600098,7017.600098,6917.799805,6958.100098,6958.100098,911701300
2016-10-27,6958.100098,7003.899902,6924.100098,6986.600098,6986.600098,932928900
2016-10-28,6986.600098,7006.399902,6927.200195,6996.299805,6996.299805,927919200
2016-10-31,6996.299805,6996.299805,6945.299805,6954.200195,6954.200195,786510100
2016-11-01,6954.200195,6993.799805,6903.600098,6917.100098,6917.100098,757445500
2016-11-02,6917.100098,6917.100098,6845.399902,6845.399902,6845.399902,773904700
2016-11-03,6845.399902,6873.200195,6790.500000,6790.500000,6790.500000,1051387600
2016-11-04,6790.500000,6790.500000,6676.600098,6693.299805,6693.299805,875842600
2016-11-07,6693.299805,6806.899902,6693.299805,6806.899902,6806.899902,862189600
2016-11-08,6806.899902,6849.299805,6795.100098,6843.100098,6843.100098,807294400
2016-11-09,6843.100098,6911.799805,6696.299805,6911.799805,6911.799805,1364332200
2016-11-10,6911.799805,6997.299805,6799.100098,6828.000000,6828.000000,1691621700
2016-11-11,6828.000000,6849.000000,6709.700195,6730.399902,6730.399902,1079211900
2016-11-14,6730.399902,6814.200195,6730.399902,6753.200195,6753.200195,1053182100
2016-11-15,6753.200195,6820.500000,6753.200195,6792.700195,6792.700195,1123112200
2016-11-16,6792.700195,6810.500000,6735.700195,6749.700195,6749.700195,850998000
2016-11-17,6749.700195,6798.799805,6745.100098,6794.700195,6794.700195,826252500
2016-11-18,6794.700195,6811.600098,6740.299805,6775.799805,6775.799805,866734900
2016-11-21,6775.799805,6820.899902,6754.200195,6778.000000,6778.000000,781736600
2016-11-22,6778.000000,6851.399902,6778.000000,6819.700195,6819.700195,896754300
2016-11-23,6819.700195,6880.700195,6779.500000,6817.700195,6817.700195,773975400
2016-11-24,6817.700195,6831.200195,6790.700195,6829.200195,6829.200195,491417000
2016-11-25,6829.200195,6852.100098,6818.100098,6840.799805,6840.799805,477578100
2016-11-28,6840.799805,6841.000000,6769.799805,6799.500000,6799.500000,688383900
2016-11-29,6799.500000,6800.899902,6729.399902,6772.000000,6772.000000,772231500
2016-11-30,6772.000000,6845.700195,6765.200195,6783.799805,6783.799805,1331987200
2016-12-01,6783.799805,6789.299805,6688.399902,6752.899902,6752.899902,938011500
2016-12-02,6752.899902,6752.899902,6678.700195,6730.700195,6730.700195,687199300
2016-12-05,6730.700195,6799.500000,6697.700195,6746.799805,6746.799805,790521700
2016-12-06,6746.799805,6785.299805,6723.100098,6779.799805,6779.799805,845397500
2016-12-07,6779.799805,6902.200195,6779.799805,6902.200195,6902.200195,1161379200
2016-12-08,6902.200195,6937.500000,6892.200195,6931.600098,6931.600098,1019417900
2016-12-09,6931.600098,6962.299805,6929.500000,6954.200195,6954.200195,803052200
2016-12-12,6954.200195,6976.799805,6875.399902,6890.399902,6890.399902,917840600
2016-12-13,6890.399902,6978.000000,6877.500000,6968.600098,6968.600098,905452400
2016-12-14,6968.600098,6970.500000,6942.000000,6949.200195,6949.200195,971286400
2016-12-15,6949.200195,7010.500000,6925.899902,6999.000000,6999.000000,1064458500
2016-12-16,6999.000000,7038.399902,6990.399902,7011.600098,7011.600098,1113082800
2016-12-19,7011.600098,7025.700195,6986.399902,7017.200195,7017.200195,626061400
2016-12-20,7017.200195,7045.200195,6992.600098,7044.000000,7044.000000,721985200
2016-12-21,7044.000000,7057.000000,7025.700195,7041.399902,7041.399902,600551300
2016-12-22,7041.399902,7063.700195,7020.100098,7063.700195,7063.700195,468663000
2016-12-23,7063.700195,7071.100098,7054.600098,7068.200195,7068.200195,186159300
2016-12-28,7068.200195,7109.399902,7060.899902,7106.100098,7106.100098,470755300
2016-12-29,7106.100098,7120.299805,7074.500000,7120.299805,7120.299805,383620400
2016-12-30,7120.299805,7142.799805,7087.500000,7142.799805,7142.799805,316700000
